"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,
Rank,Full Journal Title,ISSN,Total Cites,Journal Impact Factor,5-Year Impact Factor,Eigenfactor Score
34,JOURNAL OF CLINICAL ONCOLOGY,0732-183X,"156,474",26.303,21.455,0.285130
35,Nature Chemistry,1755-4330,"29,548",26.201,28.790,0.101720
36,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,"10,618",25.242,27.860,0.009830
37,LANCET INFECTIOUS DISEASES,1473-3099,"20,494",25.148,22.668,0.067280
38,Annual Review of Astronomy and Astrophysics,0066-4146,"10,702",24.912,40.554,0.021080
39,Nature Reviews Clinical Oncology,1759-4774,"8,354",24.653,20.605,0.026110
40,PROGRESS IN POLYMER SCIENCE,0079-6700,"24,520",24.558,32.833,0.027420
41,Materials Today,1369-7021,"9,962",24.537,24.971,0.017130
42,MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,"7,119",24.480,30.400,0.005440
43,Cancer Discovery,2159-8274,"11,896",24.373,24.621,0.065350
44,PHYSIOLOGICAL REVIEWS,0031-9333,"27,680",24.014,34.299,0.030380
45,PROGRESS IN MATERIALS SCIENCE,0079-6425,"12,382",23.750,33.190,0.015680
46,EUROPEAN HEART JOURNAL,0195-668X,"56,054",23.425,20.660,0.146810
47,Living Reviews in Relativity,1433-8351,"2,409",23.333,27.939,0.005910
48,Cell Stem Cell,1934-5909,"23,493",23.290,23.799,0.096030
49,BMJ-British Medical Journal,1756-1833,"109,303",23.259,20.375,0.150320
50,CANCER CELL,1535-6108,"35,217",22.844,27.072,0.096910
51,Annual Review of Psychology,0066-4308,"18,461",22.774,30.519,0.022550
51,Annual Review of Psychology,0066-4308,"18,461",22.774,30.519,0.022550
53,Journal of Statistical Software,1548-7660,"14,900",22.737,15.682,0.038740
54,Nature Physics,1745-2473,"33,233",22.727,22.610,0.122210
55,Annual Review of Immunology,0732-0582,"17,086",22.714,35.512,0.028800
56,ADVANCED MATERIALS,0935-9648,"190,542",21.950,21.888,0.365300
57,Advanced Energy Materials,1614-6832,"34,218",21.875,19.687,0.099870
58,Annual Review of Condensed Matter Physics,1947-5454,"2,349",21.853,19.705,0.012940
59,NATURE IMMUNOLOGY,1529-2908,"41,410",21.809,21.974,0.102290
60,Lancet Respiratory Medicine,2213-2600,"5,818",21.466,20.309,0.030470
61,Advances in Optics and Photonics,1943-8206,"2,050",21.286,18.800,0.004820
61,Psychological Science in the Public Interest,1529-1006,"1,231",21.286,33.059,0.003580
63,ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,"67,004",20.955,22.361,0.141610
64,JAMA Oncology,2374-2437,"5,707",20.871,20.884,0.027770
65,GASTROENTEROLOGY,0016-5085,"73,198",20.773,19.131,0.120200
66,CLINICAL MICROBIOLOGY REVIEWS,0893-8512,"18,070",20.642,24.541,0.020230
67,Cell Metabolism,1550-4131,"29,834",20.565,21.398,0.101740
68,Nature Reviews Endocrinology,1759-5029,"7,377",20.265,19.244,0.025190
69,IEEE Communications Surveys and Tutorials,1553-877X,"12,217",20.230,20.618,0.035760
70,Annual Review of Biochemistry,0066-4154,"19,873",20.154,26.231,0.030170
71,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,"26,127",20.099,21.477,0.030630
72,JAMA Internal Medicine,2168-6106,"11,840",19.989,17.840,0.076280
73,NATURE NEUROSCIENCE,1097-6256,"59,426",19.912,19.188,0.153710
74,Nature Reviews Neurology,1759-4758,"8,095",19.819,20.888,0.028090
75,IMMUNITY,1074-7613,"46,541",19.734,23.618,0.136360
76,ANNALS OF INTERNAL MEDICINE,0003-4819,"53,689",19.384,18.726,0.099140
77,Lancet Diabetes & Endocrinology,2213-8587,"5,549",19.313,20.231,0.029810
78,Nature Climate Change,1758-678X,"17,986",19.181,22.363,0.096700
78,Nature Climate Change,1758-678X,"17,986",19.181,22.363,0.096700
80,NATURE CELL BIOLOGY,1465-7392,"39,896",19.064,20.460,0.092960
81,PHARMACOLOGICAL REVIEWS,0031-6997,"12,719",18.964,21.706,0.014390
82,CIRCULATION,0009-7322,"167,719",18.880,17.902,0.223630
83,Annual Review of Plant Biology,1543-5008,"17,852",18.712,24.679,0.017470
84,Lancet Global Health,2214-109X,"4,455",18.705,20.577,0.024320
84,Lancet Global Health,2214-109X,"4,455",18.705,20.577,0.024320
86,TRENDS IN CELL BIOLOGY,0962-8924,"13,708",18.564,15.211,0.037630
87,Cell Host & Microbe,1931-3128,"15,851",17.872,16.028,0.064740
88,SURFACE SCIENCE REPORTS,0167-5729,"4,543",17.800,14.479,0.003150
89,Nano Today,1748-0132,"7,073",17.753,18.912,0.013530
90,EUROPEAN UROLOGY,0302-2838,"30,723",17.581,15.655,0.070590
91,GUT,0017-5749,"42,750",17.016,15.910,0.071930
92,Nature Reviews Gastroenterology & Hepatology,1759-5045,"6,686",16.990,16.533,0.024170
93,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,"99,084",16.834,18.737,0.213550
94,Science Translational Medicine,1946-6234,"26,691",16.710,18.614,0.126450
95,JAMA Psychiatry,2168-622X,"8,414",16.642,16.415,0.044550
95,JAMA Psychiatry,2168-622X,"8,414",16.642,16.415,0.044550
97,Industrial and Organizational Psychology-Perspectives on Science and Practice,1754-9426,"1,123",16.375,2.152,0.002630
98,Nature Reviews Disease Primers,2056-676X,"1,559",16.071,16.155,0.007250
99,Annual Review of Pathology-Mechanisms of Disease,1553-4006,"4,402",15.952,20.677,0.009920
100,TRENDS IN ECOLOGY & EVOLUTION,0169-5347,"35,124",15.938,19.349,0.038820
101,ACTA NEUROPATHOLOGICA,0001-6322,"18,783",15.872,13.548,0.041490
102,Annual Review of Materials Research,1531-7331,"7,801",15.846,18.143,0.008300
103,TRENDS IN BIOCHEMICAL SCIENCES,0968-0004,"16,944",15.678,14.685,0.030830
104,Nature Reviews Rheumatology,1759-4790,"6,584",15.661,14.358,0.022310
105,TRENDS IN COGNITIVE SCIENCES,1364-6613,"25,391",15.557,22.838,0.040790
105,TRENDS IN COGNITIVE SCIENCES,1364-6613,"25,391",15.557,22.838,0.040790
107,ENDOCRINE REVIEWS,0163-769X,"12,975",15.545,18.639,0.009920
108,CELL RESEARCH,1001-0602,"13,728",15.393,15.973,0.037450
109,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,1389-5567,"3,797",15.325,18.065,0.004990
110,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,"61,024",15.239,14.526,0.086830
111,Lancet Psychiatry,2215-0374,"3,223",15.233,15.152,0.015210
111,Lancet Psychiatry,2215-0374,"3,223",15.233,15.152,0.015210
113,CIRCULATION RESEARCH,0009-7330,"52,753",15.211,13.313,0.082820
114,Nature Reviews Cardiology,1759-5002,"5,228",15.162,13.249,0.018210
115,BLOOD,0006-4971,"167,858",15.132,12.365,0.278040
116,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,"8,900",15.071,21.181,0.010130
116,BEHAVIORAL AND BRAIN SCIENCES,0140-525X,"8,900",15.071,21.181,0.010130
118,INTENSIVE CARE MEDICINE,0342-4642,"22,135",15.008,10.837,0.037580
119,Annual Review of Medicine,0066-4219,"6,111",14.970,12.590,0.010320
120,JOURNAL OF HEPATOLOGY,0168-8278,"37,108",14.911,12.682,0.087330
121,Annual Review of Fluid Mechanics,0066-4189,"11,622",14.814,17.171,0.011710
122,Annual Review of Neuroscience,0147-006X,"13,320",14.675,19.878,0.016110
123,COORDINATION CHEMISTRY REVIEWS,0010-8545,"30,949",14.499,13.215,0.034950
124,Nature Geoscience,1752-0894,"20,386",14.391,14.846,0.078890
125,Physical Review X,2160-3308,"10,288",14.385,12.441,0.069590
126,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,0002-7863,"533,512",14.357,13.613,0.728530
127,Annual Review of Physiology,0066-4278,"9,111",14.327,17.000,0.013180
128,NEURON,0896-6273,"89,410",14.318,16.075,0.216730
129,REPORTS ON PROGRESS IN PHYSICS,0034-4885,"15,949",14.257,16.214,0.030530
130,MOLECULAR CELL,1097-2765,"61,604",14.248,14.703,0.181170
131,TRENDS IN IMMUNOLOGY,1471-4906,"11,204",14.188,13.126,0.026850
132,Nature Microbiology,2058-5276,"2,510",14.174,14.182,0.013670
133,PROGRESS IN NEUROBIOLOGY,0301-0082,"13,065",14.163,13.530,0.015550
134,Chem,2451-9294,997,14.104,14.104,0.003220
135,Nature Reviews Nephrology,1759-5061,"4,668",14.101,12.170,0.017100
136,HEPATOLOGY,0270-9139,"63,302",14.079,11.889,0.103360
137,FUNGAL DIVERSITY,1560-2745,"4,078",14.078,9.409,0.006670
138,ANNALS OF ONCOLOGY,0923-7534,"38,738",13.926,10.571,0.095780
139,Annual Review of Entomology,0066-4170,"12,338",13.860,15.613,0.009360
140,Nature Chemical Biology,1552-4450,"19,562",13.843,13.990,0.061240
141,Physics of Life Reviews,1571-0645,"1,381",13.783,11.067,0.002960
142,Annual Review of Physical Chemistry,0066-426X,"8,793",13.738,16.379,0.014200
143,ACS Nano,1936-0851,"134,596",13.709,14.820,0.346500
144,ADVANCED DRUG DELIVERY REVIEWS,0169-409X,"34,931",13.660,17.280,0.043050
145,Light-Science & Applications,2047-7538,"4,249",13.625,15.141,0.015700
146,TRENDS IN BIOTECHNOLOGY,0167-7799,"14,746",13.578,14.635,0.019170
147,REVIEWS OF GEOPHYSICS,8755-1209,"10,115",13.529,18.286,0.012760
148,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,1092-2172,"11,301",13.439,17.537,0.012060
149,DIABETES CARE,0149-5992,"67,278",13.397,10.740,0.110140
150,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,"42,369",13.391,13.918,0.037870
150,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,"42,369",13.391,13.918,0.037870
152,NATURE STRUCTURAL & MOLECULAR BIOLOGY,1545-9993,"27,547",13.333,12.816,0.081820
153,ADVANCED FUNCTIONAL MATERIALS,1616-301X,"78,965",13.325,13.274,0.163070
154,Annual Review of Pharmacology and Toxicology,0362-1642,"7,827",13.295,15.129,0.010500
155,Annual Review of Clinical Psychology,1548-5943,"4,926",13.278,17.900,0.010550
155,Annual Review of Clinical Psychology,1548-5943,"4,926",13.278,17.900,0.010550
157,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,0091-6749,"49,229",13.258,12.704,0.083800
158,JOURNAL OF CLINICAL INVESTIGATION,0021-9738,"107,818",13.251,14.434,0.165270
159,PSYCHOLOGICAL BULLETIN,0033-2909,"47,657",13.250,21.986,0.025950
159,PSYCHOLOGICAL BULLETIN,0033-2909,"47,657",13.250,21.986,0.025950
161,GENOME BIOLOGY,1474-760X,"34,697",13.214,16.497,0.118500
162,Materials Horizons,2051-6347,"2,883",13.183,12.805,0.008670
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,"3,597",13.122,9.902,0.005520
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,"3,597",13.122,9.902,0.005520
165,Nano Energy,2211-2855,"23,023",13.120,13.619,0.060880
166,Applied Physics Reviews,1931-9401,"1,582",12.894,15.421,0.006410
167,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,0149-2195,"24,208",12.888,Not Available,0.091830
168,Annual Review of Marine Science,1941-1405,"3,288",12.867,16.352,0.009580
169,Living Reviews in Solar Physics,1614-4961,"1,134",12.833,18.296,0.003560
170,Alzheimers & Dementia,1552-5260,"10,423",12.740,12.044,0.030040
171,INTERNATIONAL MATERIALS REVIEWS,0950-6608,"4,577",12.703,16.102,0.005260
172,Journal of Cachexia Sarcopenia and Muscle,2190-6009,"2,207",12.511,9.872,0.005180
173,Advanced Science,2198-3844,"4,030",12.441,12.515,0.012110
174,Nature Protocols,1754-2189,"36,821",12.423,15.269,0.086550
175,Bone Research,2095-4700,977,12.354,9.051,0.002400
176,Nature Communications,2041-1723,"178,348",12.353,13.691,0.926560
177,ANNALS OF THE RHEUMATIC DISEASES,0003-4967,"41,994",12.350,11.152,0.081020
178,ACS Energy Letters,2380-8195,"3,282",12.277,12.283,0.009210
179,EUROPEAN RESPIRATORY JOURNAL,0903-1936,"36,506",12.242,9.931,0.056610
180,TRENDS IN PLANT SCIENCE,1360-1385,"18,864",12.149,13.181,0.025770
181,TRENDS IN PHARMACOLOGICAL SCIENCES,0165-6147,"11,806",12.108,11.890,0.018470
182,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1433-7851,"302,685",12.102,11.954,0.571500
183,NANO LETTERS,1530-6984,"153,533",12.080,14.201,0.331560
184,BIOLOGICAL PSYCHIATRY,0006-3223,"42,494",11.982,10.884,0.056910
185,HUMAN REPRODUCTION UPDATE,1355-4786,"8,378",11.852,12.058,0.013900
186,TRENDS IN MICROBIOLOGY,0966-842X,"11,344",11.776,11.149,0.020970
187,Annual Review of Biophysics,1936-122X,"2,721",11.742,13.257,0.009390
188,BIOLOGICAL REVIEWS,1464-7931,"11,139",11.700,11.996,0.017280
189,APPLIED CATALYSIS B-ENVIRONMENTAL,0926-3373,"58,730",11.698,10.212,0.071290
190,PLOS MEDICINE,1549-1676,"24,232",11.675,14.799,0.058710
191,PROGRESS IN RETINAL AND EYE RESEARCH,1350-9462,"5,926",11.653,12.028,0.010480
192,MOLECULAR PSYCHIATRY,1359-4184,"18,460",11.640,12.439,0.047200
193,STUDIES IN MYCOLOGY,0166-0616,"2,777",11.633,18.095,0.004140
194,DRUG RESISTANCE UPDATES,1368-7646,"2,716",11.630,11.381,0.003910
195,JOURNAL OF PINEAL RESEARCH,0742-3098,"9,079",11.613,9.584,0.008600
196,ASTRONOMY AND ASTROPHYSICS REVIEW,0935-4956,"1,752",11.611,17.021,0.005310
197,NUCLEIC ACIDS RESEARCH,0305-1048,"168,962",11.561,10.235,0.402470
198,INTERNATIONAL JOURNAL OF COMPUTER VISION,0920-5691,"16,572",11.541,10.076,0.025040
199,Science Advances,2375-2548,"10,194",11.511,11.514,0.057080
200,Nature Plants,2055-026X,"2,284",11.471,11.471,0.012240
201,JAMA Neurology,2168-6149,"6,885",11.460,10.415,0.035270
202,BIOTECHNOLOGY ADVANCES,0734-9750,"15,722",11.452,11.848,0.021940
203,TRENDS IN NEUROSCIENCES,0166-2236,"20,061",11.439,13.581,0.026860
204,NATURAL PRODUCT REPORTS,0265-0568,"9,973",11.406,10.801,0.016090
205,FEMS MICROBIOLOGY REVIEWS,0168-6445,"11,237",11.392,14.892,0.016410
206,Annual Review of Earth and Planetary Sciences,0084-6597,"7,379",11.391,11.275,0.009900
207,ACS Catalysis,2155-5435,"39,650",11.384,11.783,0.118510
208,Lancet HIV,2352-3018,"1,476",11.355,12.192,0.007950
209,JNCI-Journal of the National Cancer Institute,0027-8874,"37,933",11.238,12.153,0.052550
210,ACS Central Science,2374-7943,"2,106",11.228,11.235,0.009440
211,Autophagy,1554-8627,"14,923",11.100,11.815,0.035510
212,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,0146-6410,"3,108",11.049,5.682,0.006130
213,TRENDS IN MOLECULAR MEDICINE,1471-4914,"9,213",11.021,11.365,0.019720
214,BRAIN,0006-8950,"52,061",10.840,11.199,0.075170
215,JOURNAL OF EXPERIMENTAL MEDICINE,0022-1007,"62,537",10.790,11.929,0.078310
216,JAMA Pediatrics,2168-6203,"5,870",10.769,10.896,0.033730
216,TRENDS IN ENDOCRINOLOGY AND METABOLISM,1043-2760,"8,362",10.769,10.774,0.019900
218,PROGRESS IN QUANTUM ELECTRONICS,0079-6727,"1,122",10.733,9.103,0.001340
219,Lancet Haematology,2352-3026,"1,307",10.698,10.686,0.007350
220,EUROPEAN JOURNAL OF HEART FAILURE,1388-9842,"11,113",10.683,8.086,0.027560
221,SLEEP MEDICINE REVIEWS,1087-0792,"6,080",10.602,10.342,0.010720
222,EMBO JOURNAL,0261-4189,"67,036",10.557,10.345,0.079780
223,TRENDS IN GENETICS,0168-9525,"11,805",10.556,10.875,0.023020
224,IEEE Industrial Electronics Magazine,1932-4529,"1,394",10.429,11.273,0.003680
225,PHARMACOLOGY & THERAPEUTICS,0163-7258,"14,319",10.376,10.562,0.022310
226,Journal of Thoracic Oncology,1556-0864,"15,010",10.336,7.294,0.033280
227,EMBO Molecular Medicine,1757-4676,"6,402",10.293,9.911,0.026160
228,JACC-Cardiovascular Imaging,1936-878X,"8,104",10.247,10.034,0.026360
229,ANNALS OF NEUROLOGY,0364-5134,"37,251",10.244,10.744,0.053390
230,AMERICAN JOURNAL OF GASTROENTEROLOGY,0002-9270,"33,483",10.231,11.341,0.050130
231,MOLECULAR BIOLOGY AND EVOLUTION,0737-4038,"44,664",10.217,14.479,0.101560
232,Dialogues in Human Geography,2043-8206,518,10.214,Not Available,0.001790
233,CLINICAL CANCER RESEARCH,1078-0432,"81,859",10.199,9.697,0.132210
234,SEMINARS IN CANCER BIOLOGY,1044-579X,"6,330",10.198,10.502,0.010740
235,Annual Review of Ecology Evolution and Systematics,1543-592X,"19,458",10.160,14.664,0.010980
236,JAMA Cardiology,2380-6583,"1,650",10.133,10.133,0.008630
237,GENOME RESEARCH,1088-9051,"38,842",10.101,13.796,0.105060
238,LEUKEMIA,0887-6924,"25,265",10.023,10.214,0.059580
239,CURRENT OPINION IN CELL BIOLOGY,0955-0674,"13,339",10.015,8.512,0.027790
240,GENETICS IN MEDICINE,1098-3600,"8,825",9.937,7.875,0.028650
241,Journal of Materials Chemistry A,2050-7488,"93,815",9.931,9.531,0.239820
242,CHEMISTRY OF MATERIALS,0897-4756,"100,174",9.890,9.842,0.139120
243,JACC-Cardiovascular Interventions,1936-8798,"10,268",9.881,9.500,0.037290
244,Annual Review of Microbiology,0066-4227,"9,814",9.808,12.932,0.009790
245,ACTA NUMERICA,0962-4929,"1,826",9.727,11.414,0.003350
246,THORAX,0040-6376,"22,188",9.655,8.605,0.030110
247,DEVELOPMENTAL CELL,1534-5807,"26,896",9.616,9.611,0.074980
248,Small,1613-6810,"41,643",9.598,9.061,0.086470
249,Annual Review of Genetics,0066-4197,"7,707",9.589,13.295,0.013490
250,CLINICAL PSYCHOLOGY REVIEW,0272-7358,"14,836",9.577,11.855,0.019200
251,Annual Review of Phytopathology,0066-4286,"7,172",9.528,11.484,0.006770
252,MASS SPECTROMETRY REVIEWS,0277-7037,"3,845",9.526,8.248,0.004770
253,Annual Review of Food Science and Technology,1941-1413,"1,523",9.523,9.852,0.003570
254,ISME Journal,1751-7362,"19,791",9.520,11.663,0.056720
255,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0027-8424,"637,268",9.504,10.359,1.108220
256,Annual Review of Public Health,0163-7525,"5,847",9.491,11.762,0.009010
256,Annual Review of Public Health,0163-7525,"5,847",9.491,11.762,0.009010
258,GENES & DEVELOPMENT,0890-9369,"57,469",9.462,10.567,0.092720
259,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,"46,505",9.455,13.229,0.064120
260,National Science Review,2095-5138,952,9.408,10.973,0.004340
261,INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,0144-235X,"1,796",9.406,7.234,0.002940
262,Nanoscale Horizons,2055-6756,505,9.391,9.391,0.001550
263,NEURO-ONCOLOGY,1522-8517,"10,930",9.384,8.655,0.030350
264,Epilepsy Currents,1535-7597,790,9.333,5.411,0.001600
265,SPACE SCIENCE REVIEWS,0038-6308,"10,649",9.327,8.622,0.025710
266,Molecular Plant,1674-2052,"7,010",9.326,8.065,0.021690
267,PROGRESS IN SOLID STATE CHEMISTRY,0079-6786,"1,994",9.313,8.286,0.000990
268,Perspectives on Psychological Science,1745-6916,"8,147",9.305,12.114,0.023690
269,Academy of Management Annals,1941-6520,"2,783",9.281,17.129,0.008340
269,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1088-8683,"5,766",9.281,11.264,0.006530
271,IEEE COMMUNICATIONS MAGAZINE,0163-6804,"21,610",9.270,10.954,0.056440
272,CURRENT BIOLOGY,0960-9822,"56,595",9.251,9.972,0.137200
273,Cold Spring Harbor Perspectives in Biology,1943-0264,"13,275",9.247,12.208,0.049360
274,IMMUNOLOGICAL REVIEWS,0105-2896,"14,555",9.217,10.006,0.028540
275,npj Quantum Information,2056-6387,420,9.206,9.206,0.002390
276,ANNALS OF SURGERY,0003-4932,"48,932",9.203,9.097,0.066340
277,IEEE WIRELESS COMMUNICATIONS,1536-1284,"6,702",9.202,9.100,0.017660
278,Cancer Immunology Research,2326-6066,"4,361",9.188,9.713,0.021180
279,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,1364-0321,"67,014",9.184,10.093,0.108570
280,PLOS BIOLOGY,1545-7885,"28,750",9.163,9.527,0.058680
281,ECOLOGY LETTERS,1461-023X,"30,928",9.137,11.775,0.051190
282,Microbiome,2049-2618,"2,532",9.133,10.903,0.010840
283,CANCER RESEARCH,0008-5472,"139,291",9.130,9.578,0.130190
284,CLINICAL INFECTIOUS DISEASES,1058-4838,"61,618",9.117,8.970,0.120010
285,PROCEEDINGS OF THE IEEE,0018-9219,"31,332",9.107,9.846,0.031390
286,HAEMATOLOGICA,0390-6078,"16,138",9.090,7.012,0.038930
287,BMC Medicine,1741-7015,"12,000",9.088,9.410,0.041600
288,Chemical Science,2041-6520,"35,721",9.063,8.757,0.124110
289,Annual Review of Cell and Developmental Biology,1081-0706,"9,812",9.032,17.691,0.016870
290,PROGRESS IN SURFACE SCIENCE,0079-6816,"2,004",9.000,7.231,0.001800
291,GLOBAL CHANGE BIOLOGY,1354-1013,"36,182",8.997,9.791,0.072420
292,Cell Systems,2405-4712,"1,129",8.982,8.982,0.009600
293,AGEING RESEARCH REVIEWS,1568-1637,"5,297",8.973,8.974,0.012030
294,npj Computational Materials,2057-3960,355,8.941,8.941,0.001500
295,Genome Medicine,1756-994X,"4,265",8.898,8.265,0.020600
296,Annual Review of Nutrition,0199-9885,"5,528",8.886,9.871,0.005230
297,ACADEMY OF MANAGEMENT REVIEW,0363-7425,"31,863",8.855,13.277,0.012110
297,AMERICAN JOURNAL OF HUMAN GENETICS,0002-9297,"36,546",8.855,10.085,0.070550
299,Reviews in Mineralogy & Geochemistry,1529-6466,"5,406",8.846,7.565,0.005240
300,PHYSICAL REVIEW LETTERS,0031-9007,"432,843",8.839,7.888,0.658570
301,Wiley Interdisciplinary Reviews-Computational Molecular Science,1759-0876,"4,131",8.836,17.237,0.015160
302,BIOMATERIALS,0142-9612,"108,908",8.806,9.315,0.114670
303,IEEE Transactions on Cybernetics,2168-2267,"9,424",8.803,8.775,0.032720
304,Advances in Experimental Social Psychology,0065-2601,"5,133",8.800,9.979,0.003330
305,Earth System Science Data,1866-3508,"1,363",8.792,8.414,0.008230
306,Annual Review of Biomedical Engineering,1523-9829,"4,653",8.788,16.165,0.006260
307,JOURNAL OF CELL BIOLOGY,0021-9525,"68,915",8.784,9.567,0.085170
308,Annual Review of Analytical Chemistry,1936-1327,"2,100",8.756,8.892,0.004590
309,EMBO REPORTS,1469-221X,"13,293",8.749,9.127,0.031350
310,AUTOIMMUNITY REVIEWS,1568-9972,"8,956",8.745,7.733,0.020990
311,ALDRICHIMICA ACTA,0002-5100,846,8.727,8.310,0.001130
312,Journal of Physical Chemistry Letters,1948-7185,"39,275",8.709,8.480,0.132690
313,Acta Crystallographica Section C-Structural Chemistry,2053-2296,"7,598",8.678,2.956,0.008870
314,Annual Review of Genomics and Human Genetics,1527-8204,"2,729",8.676,9.485,0.007160
315,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,1046-6673,"37,796",8.655,9.010,0.056820
316,CLINICAL CHEMISTRY,0009-9147,"27,624",8.636,7.941,0.024370
317,Health Psychology Review,1743-7199,"1,378",8.597,8.699,0.004460
318,GREEN CHEMISTRY,1463-9262,"38,174",8.586,8.717,0.056570
319,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,0067-0049,"26,654",8.561,9.663,0.054310
320,Theranostics,1838-7640,"5,761",8.537,9.009,0.015710
321,Laser & Photonics Reviews,1863-8880,"5,403",8.529,9.749,0.016750
322,SYSTEMATIC BIOLOGY,1063-5157,"15,339",8.523,14.501,0.027800
323,Molecular Systems Biology,1744-4292,"8,447",8.500,9.537,0.019830
324,JAMA Surgery,2168-6254,"4,515",8.498,7.699,0.024940
325,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,0092-0703,"10,015",8.488,9.810,0.006750
326,Obesity Reviews,1467-7881,"10,241",8.483,9.583,0.023840
327,PROGRESS IN LIPID RESEARCH,0163-7827,"5,302",8.435,10.513,0.006750
328,KIDNEY INTERNATIONAL,0085-2538,"42,587",8.429,8.796,0.049960
